Episode 20 	 Avg length: 222 	 Avg reward: 557
Episode 40 	 Avg length: 157 	 Avg reward: 564
Episode 60 	 Avg length: 86 	 Avg reward: 645
Episode 80 	 Avg length: 129 	 Avg reward: 649
Episode 100 	 Avg length: 96 	 Avg reward: 609
Episode 120 	 Avg length: 298 	 Avg reward: 516
Episode 140 	 Avg length: 163 	 Avg reward: 594
Episode 160 	 Avg length: 143 	 Avg reward: 638
Episode 180 	 Avg length: 187 	 Avg reward: 648
Episode 200 	 Avg length: 177 	 Avg reward: 685
Episode 220 	 Avg length: 151 	 Avg reward: 651
Episode 240 	 Avg length: 93 	 Avg reward: 641
Episode 260 	 Avg length: 172 	 Avg reward: 715
Episode 280 	 Avg length: 150 	 Avg reward: 737
Episode 300 	 Avg length: 132 	 Avg reward: 744
Episode 320 	 Avg length: 148 	 Avg reward: 723
Episode 340 	 Avg length: 144 	 Avg reward: 662
Episode 360 	 Avg length: 102 	 Avg reward: 738
Episode 380 	 Avg length: 205 	 Avg reward: 644
Episode 400 	 Avg length: 239 	 Avg reward: 757
Episode 420 	 Avg length: 139 	 Avg reward: 719
Episode 440 	 Avg length: 136 	 Avg reward: 785
Episode 460 	 Avg length: 153 	 Avg reward: 905
Episode 480 	 Avg length: 203 	 Avg reward: 737
Episode 500 	 Avg length: 123 	 Avg reward: 840
Episode 520 	 Avg length: 204 	 Avg reward: 861
Episode 540 	 Avg length: 156 	 Avg reward: 1022
Episode 560 	 Avg length: 262 	 Avg reward: 737
Episode 580 	 Avg length: 134 	 Avg reward: 834
Episode 600 	 Avg length: 192 	 Avg reward: 812
Episode 620 	 Avg length: 228 	 Avg reward: 930
Episode 640 	 Avg length: 204 	 Avg reward: 833
Episode 660 	 Avg length: 198 	 Avg reward: 817
Episode 680 	 Avg length: 218 	 Avg reward: 811
Episode 700 	 Avg length: 132 	 Avg reward: 835
Episode 720 	 Avg length: 208 	 Avg reward: 843
Episode 740 	 Avg length: 127 	 Avg reward: 916
Episode 760 	 Avg length: 247 	 Avg reward: 946
Episode 780 	 Avg length: 201 	 Avg reward: 877
Episode 800 	 Avg length: 141 	 Avg reward: 931
Episode 820 	 Avg length: 144 	 Avg reward: 955
Episode 840 	 Avg length: 173 	 Avg reward: 883
Episode 860 	 Avg length: 131 	 Avg reward: 977
Episode 880 	 Avg length: 121 	 Avg reward: 822
Episode 900 	 Avg length: 269 	 Avg reward: 1010
Episode 920 	 Avg length: 184 	 Avg reward: 982
Episode 940 	 Avg length: 152 	 Avg reward: 968
Episode 960 	 Avg length: 164 	 Avg reward: 1029
Episode 980 	 Avg length: 234 	 Avg reward: 1024
