WalkerBase::__init__
0.0003 (0.9, 0.999)
/home/mprocks/USC/spring2020/ml_for_games/gym/pybullet-gym/pybulletgym/envs/ball.urdf
Episode 20 	 Avg length: 12 	 Avg reward: 5
Episode 40 	 Avg length: 11 	 Avg reward: 5
Episode 60 	 Avg length: 13 	 Avg reward: 5
Episode 80 	 Avg length: 11 	 Avg reward: 5
Episode 100 	 Avg length: 11 	 Avg reward: 6
Episode 120 	 Avg length: 13 	 Avg reward: 5
Episode 140 	 Avg length: 13 	 Avg reward: 5
Episode 160 	 Avg length: 13 	 Avg reward: 5
Episode 180 	 Avg length: 12 	 Avg reward: 4
Episode 200 	 Avg length: 13 	 Avg reward: 4
Episode 220 	 Avg length: 13 	 Avg reward: 5
Episode 240 	 Avg length: 11 	 Avg reward: 5
Episode 260 	 Avg length: 13 	 Avg reward: 5
Episode 280 	 Avg length: 11 	 Avg reward: 5
Episode 300 	 Avg length: 13 	 Avg reward: 5
Episode 320 	 Avg length: 10 	 Avg reward: 6
Episode 340 	 Avg length: 11 	 Avg reward: 5
Episode 360 	 Avg length: 11 	 Avg reward: 5
Episode 380 	 Avg length: 10 	 Avg reward: 5
Episode 400 	 Avg length: 11 	 Avg reward: 5
Episode 420 	 Avg length: 11 	 Avg reward: 5
Episode 440 	 Avg length: 11 	 Avg reward: 5
Episode 460 	 Avg length: 10 	 Avg reward: 6
Episode 480 	 Avg length: 11 	 Avg reward: 5
Episode 500 	 Avg length: 11 	 Avg reward: 5
Episode 520 	 Avg length: 10 	 Avg reward: 5
Episode 540 	 Avg length: 11 	 Avg reward: 5
Episode 560 	 Avg length: 10 	 Avg reward: 5
Episode 580 	 Avg length: 10 	 Avg reward: 5
Episode 600 	 Avg length: 12 	 Avg reward: 5
Episode 620 	 Avg length: 10 	 Avg reward: 5
Episode 640 	 Avg length: 11 	 Avg reward: 5
Episode 660 	 Avg length: 9 	 Avg reward: 6
Episode 680 	 Avg length: 8 	 Avg reward: 6
Episode 700 	 Avg length: 9 	 Avg reward: 5
Episode 720 	 Avg length: 7 	 Avg reward: 6
Episode 740 	 Avg length: 9 	 Avg reward: 6
Episode 760 	 Avg length: 9 	 Avg reward: 6
Episode 780 	 Avg length: 9 	 Avg reward: 5
Episode 800 	 Avg length: 8 	 Avg reward: 6
Episode 820 	 Avg length: 9 	 Avg reward: 6
Episode 840 	 Avg length: 10 	 Avg reward: 5
Episode 860 	 Avg length: 9 	 Avg reward: 6
Episode 880 	 Avg length: 9 	 Avg reward: 6
Episode 900 	 Avg length: 9 	 Avg reward: 6
Episode 920 	 Avg length: 11 	 Avg reward: 5
Episode 940 	 Avg length: 9 	 Avg reward: 6
Episode 960 	 Avg length: 8 	 Avg reward: 6
Episode 980 	 Avg length: 9 	 Avg reward: 6
Episode 1000 	 Avg length: 9 	 Avg reward: 6
Episode 1020 	 Avg length: 8 	 Avg reward: 6
Episode 1040 	 Avg length: 8 	 Avg reward: 6
Episode 1060 	 Avg length: 8 	 Avg reward: 6
Episode 1080 	 Avg length: 9 	 Avg reward: 6
Episode 1100 	 Avg length: 8 	 Avg reward: 6
Episode 1120 	 Avg length: 8 	 Avg reward: 6
Episode 1140 	 Avg length: 8 	 Avg reward: 6
Episode 1160 	 Avg length: 8 	 Avg reward: 5
Episode 1180 	 Avg length: 8 	 Avg reward: 6
Episode 1200 	 Avg length: 9 	 Avg reward: 6
Episode 1220 	 Avg length: 9 	 Avg reward: 6
Episode 1240 	 Avg length: 7 	 Avg reward: 6
Episode 1260 	 Avg length: 8 	 Avg reward: 6
Episode 1280 	 Avg length: 8 	 Avg reward: 6
pybullet build time: Jan 12 2020 16:29:52
