Episode 20 	 Avg length: 21 	 Avg reward: 23
Episode 40 	 Avg length: 22 	 Avg reward: 22
Episode 60 	 Avg length: 21 	 Avg reward: 22
Episode 80 	 Avg length: 21 	 Avg reward: 23
Episode 100 	 Avg length: 21 	 Avg reward: 22
Episode 120 	 Avg length: 21 	 Avg reward: 23
Episode 140 	 Avg length: 22 	 Avg reward: 23
Episode 160 	 Avg length: 20 	 Avg reward: 23
Episode 180 	 Avg length: 19 	 Avg reward: 21
Episode 200 	 Avg length: 26 	 Avg reward: 26
Episode 220 	 Avg length: 21 	 Avg reward: 23
Episode 240 	 Avg length: 25 	 Avg reward: 26
Episode 260 	 Avg length: 29 	 Avg reward: 31
Episode 280 	 Avg length: 25 	 Avg reward: 26
Episode 300 	 Avg length: 22 	 Avg reward: 24
Episode 320 	 Avg length: 24 	 Avg reward: 25
Episode 340 	 Avg length: 26 	 Avg reward: 26
Episode 360 	 Avg length: 33 	 Avg reward: 32
Episode 380 	 Avg length: 32 	 Avg reward: 32
Episode 400 	 Avg length: 30 	 Avg reward: 28
Episode 420 	 Avg length: 31 	 Avg reward: 29
Episode 440 	 Avg length: 28 	 Avg reward: 27
Episode 460 	 Avg length: 36 	 Avg reward: 33
Episode 480 	 Avg length: 40 	 Avg reward: 34
Episode 500 	 Avg length: 40 	 Avg reward: 36
Episode 520 	 Avg length: 34 	 Avg reward: 34
Episode 540 	 Avg length: 39 	 Avg reward: 35
Episode 560 	 Avg length: 37 	 Avg reward: 34
Episode 580 	 Avg length: 39 	 Avg reward: 35
Episode 600 	 Avg length: 45 	 Avg reward: 40
Episode 620 	 Avg length: 43 	 Avg reward: 38
Episode 640 	 Avg length: 42 	 Avg reward: 37
Episode 660 	 Avg length: 48 	 Avg reward: 41
Episode 680 	 Avg length: 52 	 Avg reward: 42
Episode 700 	 Avg length: 53 	 Avg reward: 44
Episode 720 	 Avg length: 48 	 Avg reward: 39
Episode 740 	 Avg length: 51 	 Avg reward: 44
Episode 760 	 Avg length: 53 	 Avg reward: 45
Episode 780 	 Avg length: 62 	 Avg reward: 53
Episode 800 	 Avg length: 59 	 Avg reward: 47
Episode 820 	 Avg length: 49 	 Avg reward: 39
Episode 840 	 Avg length: 56 	 Avg reward: 42
Episode 860 	 Avg length: 60 	 Avg reward: 46
Episode 880 	 Avg length: 59 	 Avg reward: 44
Episode 900 	 Avg length: 73 	 Avg reward: 56
Episode 920 	 Avg length: 57 	 Avg reward: 46
Episode 940 	 Avg length: 69 	 Avg reward: 60
Episode 960 	 Avg length: 65 	 Avg reward: 56
Episode 980 	 Avg length: 70 	 Avg reward: 57
Episode 1000 	 Avg length: 65 	 Avg reward: 56
Episode 1020 	 Avg length: 69 	 Avg reward: 56
Episode 1040 	 Avg length: 74 	 Avg reward: 55
Episode 1060 	 Avg length: 61 	 Avg reward: 47
Episode 1080 	 Avg length: 63 	 Avg reward: 53
Episode 1100 	 Avg length: 58 	 Avg reward: 51
Episode 1120 	 Avg length: 79 	 Avg reward: 69
Episode 1140 	 Avg length: 68 	 Avg reward: 51
Episode 1160 	 Avg length: 66 	 Avg reward: 55
Episode 1180 	 Avg length: 69 	 Avg reward: 54
Episode 1200 	 Avg length: 81 	 Avg reward: 65
Episode 1220 	 Avg length: 78 	 Avg reward: 63
Episode 1240 	 Avg length: 74 	 Avg reward: 56
Episode 1260 	 Avg length: 61 	 Avg reward: 57
Episode 1280 	 Avg length: 66 	 Avg reward: 58
Episode 1300 	 Avg length: 75 	 Avg reward: 70
Episode 1320 	 Avg length: 72 	 Avg reward: 61
Episode 1340 	 Avg length: 68 	 Avg reward: 63
Episode 1360 	 Avg length: 83 	 Avg reward: 72
Episode 1380 	 Avg length: 75 	 Avg reward: 60
Episode 1400 	 Avg length: 83 	 Avg reward: 75
Episode 1420 	 Avg length: 66 	 Avg reward: 58
Episode 1440 	 Avg length: 74 	 Avg reward: 64
Episode 1460 	 Avg length: 69 	 Avg reward: 63
Episode 1480 	 Avg length: 71 	 Avg reward: 63
Episode 1500 	 Avg length: 69 	 Avg reward: 65
Episode 1520 	 Avg length: 83 	 Avg reward: 76
Episode 1540 	 Avg length: 72 	 Avg reward: 67
Episode 1560 	 Avg length: 70 	 Avg reward: 70
Episode 1580 	 Avg length: 72 	 Avg reward: 72
Episode 1600 	 Avg length: 70 	 Avg reward: 61
Episode 1620 	 Avg length: 68 	 Avg reward: 68
Episode 1640 	 Avg length: 76 	 Avg reward: 68
Episode 1660 	 Avg length: 70 	 Avg reward: 70
Episode 1680 	 Avg length: 69 	 Avg reward: 68
Episode 1700 	 Avg length: 77 	 Avg reward: 77
Episode 1720 	 Avg length: 71 	 Avg reward: 73
Episode 1740 	 Avg length: 77 	 Avg reward: 67
Episode 1760 	 Avg length: 78 	 Avg reward: 74
Episode 1780 	 Avg length: 69 	 Avg reward: 70
Episode 1800 	 Avg length: 61 	 Avg reward: 65
Episode 1820 	 Avg length: 77 	 Avg reward: 76
Episode 1840 	 Avg length: 78 	 Avg reward: 67
Episode 1860 	 Avg length: 71 	 Avg reward: 73
Episode 1880 	 Avg length: 72 	 Avg reward: 69
Episode 1900 	 Avg length: 70 	 Avg reward: 67
Episode 1920 	 Avg length: 74 	 Avg reward: 75
Episode 1940 	 Avg length: 80 	 Avg reward: 78
Episode 1960 	 Avg length: 78 	 Avg reward: 79
Episode 1980 	 Avg length: 78 	 Avg reward: 74
Episode 2000 	 Avg length: 81 	 Avg reward: 84
Episode 2020 	 Avg length: 89 	 Avg reward: 84
Episode 2040 	 Avg length: 86 	 Avg reward: 84
Episode 2060 	 Avg length: 79 	 Avg reward: 76
Episode 2080 	 Avg length: 75 	 Avg reward: 76
Episode 2100 	 Avg length: 74 	 Avg reward: 69
Episode 2120 	 Avg length: 74 	 Avg reward: 76
Episode 2140 	 Avg length: 75 	 Avg reward: 74
Episode 2160 	 Avg length: 76 	 Avg reward: 80
Episode 2180 	 Avg length: 72 	 Avg reward: 71
Episode 2200 	 Avg length: 74 	 Avg reward: 78
